Company name,Company Domain Name,Phone Number,Street Address,City,State/Region,Postal Code,Country/Region,Industry,Website URL,Description,SquatchScout Score,Tier,Verified Email,Founded Year,Owner Operated,Chain Suspected,Data Sources
Central Texas Pediatric Dentistry,ctpdkid.com,+15124747575,Barbara Jordan Boulevard,Austin,TX,78723,US,Dentists,https://www.ctpdkid.com/,verified email (MX ok) +12; valid phone +8; full address in OSM +3; opening hours in OSM +2; phone/website in OSM +2; no online booking +5; no chat widget +3; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,55.0,B,ctpd@ctpdkid.com,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Sonrisas Dental Center,sonrisasdentalcenter.com,+15125937970,West Louis Henna Boulevard,Austin,TX,78728,US,Dentists,https://sonrisasdentalcenter.com/,valid phone +8; contact page found +3; website reachable +2; full address in OSM +3; opening hours in OSM +2; phone/website in OSM +2; live website +5; no online booking +5; no chat widget +3; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,53.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Steiner Ranch Orthodontics James R. Waters,bracesaustin.com,+15127322500,North Quinlan Park Road,Austin,,78732,US,Dentists,https://bracesaustin.com/,valid phone +8; website reachable +2; full address in OSM +3; phone/website in OSM +2; live website +5; no online booking +5; no chat widget +3; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,48.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Chisholm Trail Dental Health,,,Chisholm Trail,Round Rock,TX,78681,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
"Austin Dental Center, PC",,,Hancock Drive,Austin,TX,78756,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Brush 32,,,Jefferson Street,Austin,TX,78731,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Lone Star Pediatric Dental & Braces,,,West 34th Street,Austin,TX,78705,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Midtown Dental Associates,,,North Interstate Highway 35 Service Road,Austin,TX,78705,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Aqua Dental,,,East 32nd Street,Austin,TX,78705,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Alpine Dental,,,Medical Arts Street,Austin,TX,78705,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Access Dental of E 7th,,,East 7th Street,Austin,TX,78702,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
East Austin Dental,,,East 5th Street,Austin,TX,78702,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Emergency Dentist Austin,,,West 6th Street,Austin,TX,78701,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
"Dr. Joyce L. Wong, DDS",,,Bee Caves Road,Austin,TX,78746,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Barton Oaks Dental Group,,,South Mopac Expressway,Austin,TX,78746,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Enamel Dentistry,,,South Lamar Boulevard,Austin,TX,78704,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
ATX Family Dental,,,South Congress Avenue,Austin,TX,78704,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Honest Family Dental,,,East Ben White Boulevard,Austin,TX,78704,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Brident Dental & Orthodontics,,,East Oltorf Street,Austin,TX,78741,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Smile Center,,,West Stassney Lane,Austin,TX,78745,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Omni Dental Group,,,West William Cannon Drive,Austin,TX,78745,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Vida Dental,,,West William Cannon Drive,Austin,TX,78745,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Sweet Tooth Dental,,,South Congress Avenue,Austin,TX,78704,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Swish Dental,,,South 1st Street,Austin,TX,78704,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Smiles by Garcia,smilesbygarcia.com,+15124025872,Bee Caves Road,Austin,TX,78746,US,Dentists,https://www.smilesbygarcia.com/,valid phone +8; full address in OSM +3; opening hours in OSM +2; phone/website in OSM +2; no online booking +5; no chat widget +3; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Toothbar,,,Walter Seaholm Drive,Austin,TX,78701,US,Dentists,,no reachable contact found; full address in OSM +3; no website at all — maximum digital upside +20; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
My Care Dental,mycaredentals.com,+15125906634,West Parmer Lane,Austin,TX,78727,US,Dentists,https://www.mycaredentals.com/,valid phone +8; full address in OSM +3; opening hours in OSM +2; phone/website in OSM +2; no online booking +5; no chat widget +3; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
"Edwin Webb, DDS",dredwinwebb.com,+15122511274,Wells Branch Parkway,Austin,TX,78728,US,Dentists,https://www.dredwinwebb.com/,valid phone +8; full address in OSM +3; opening hours in OSM +2; phone/website in OSM +2; no online booking +5; no chat widget +3; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,43.0,C,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Smiles by Dentistry,,,Brodie Lane,,,,US,Dentists,,no reachable contact found; little evidence of establishment; no website at all — maximum digital upside +20; independent (not a chain) +12; real business name +4; no succession signals,36.0,D,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Omni Dental Group,,,,,,,US,Dentists,,no reachable contact found; little evidence of establishment; no website at all — maximum digital upside +20; independent (not a chain) +12; real business name +4; no succession signals,36.0,D,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Austin Dental Works,,,,,,,US,Dentists,,no reachable contact found; little evidence of establishment; no website at all — maximum digital upside +20; independent (not a chain) +12; real business name +4; no succession signals,36.0,D,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Hammons Family Dental,,,,,,,US,Dentists,,no reachable contact found; little evidence of establishment; no website at all — maximum digital upside +20; independent (not a chain) +12; real business name +4; no succession signals,36.0,D,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Fastbraces,,,,,,,US,Dentists,,no reachable contact found; little evidence of establishment; no website at all — maximum digital upside +20; independent (not a chain) +12; real business name +4; no succession signals,36.0,D,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Lone Star Pediatric Dental,,,,,,,US,Dentists,,no reachable contact found; little evidence of establishment; no website at all — maximum digital upside +20; independent (not a chain) +12; real business name +4; no succession signals,36.0,D,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Matthew Home Dentistry,,,,,,,US,Dentists,,no reachable contact found; little evidence of establishment; no website at all — maximum digital upside +20; independent (not a chain) +12; real business name +4; no succession signals,36.0,D,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
High Point Dentistry,,,East 7th Street,,,,US,Dentists,,no reachable contact found; little evidence of establishment; no website at all — maximum digital upside +20; independent (not a chain) +12; real business name +4; no succession signals,36.0,D,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Manzanita Kids Dentistry & Orthodontics,,,,,,,US,Dentists,,no reachable contact found; little evidence of establishment; no website at all — maximum digital upside +20; independent (not a chain) +12; real business name +4; no succession signals,36.0,D,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Taylor Dental EZBraces,,,,,,,US,Dentists,,no reachable contact found; little evidence of establishment; no website at all — maximum digital upside +20; independent (not a chain) +12; real business name +4; no succession signals,36.0,D,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Legend Dental,,,,,,,US,Dentists,,no reachable contact found; little evidence of establishment; no website at all — maximum digital upside +20; independent (not a chain) +12; real business name +4; no succession signals,36.0,D,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Lamar Dental Center,,,,,,,US,Dentists,,no reachable contact found; little evidence of establishment; no website at all — maximum digital upside +20; independent (not a chain) +12; real business name +4; no succession signals,36.0,D,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
MyDental,,,,,,,US,Dentists,,no reachable contact found; little evidence of establishment; no website at all — maximum digital upside +20; independent (not a chain) +12; real business name +4; no succession signals,36.0,D,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Pflugerville Modern Denistry,,,,,,,US,Dentists,,no reachable contact found; little evidence of establishment; no website at all — maximum digital upside +20; independent (not a chain) +12; real business name +4; no succession signals,36.0,D,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Castle Dental,castledental.com,+15124583600,East 41st Street,Austin,TX,78751,US,Dentists,https://www.castledental.com/dentist-near-me/austin-dentist/35080,valid phone +8; full address in OSM +3; opening hours in OSM +2; phone/website in OSM +2; no online booking +5; no chat widget +3; chain/franchise suspected +0; physical address known +4; real business name +4; no succession signals,31.0,D,,,,True,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Castle Dental,castledental.com,+15128372900,West Canyon Ridge Drive,,,,US,Dentists,https://www.castledental.com/,valid phone +8; phone/website in OSM +2; no online booking +5; no chat widget +3; chain/franchise suspected +0; real business name +4; no succession signals,22.0,D,,,,True,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
